Model	Displ	Cyl	Trans	Drive	Fuel	Cert Region	Stnd	Stnd Description	Underhood ID	Veh Class	Air Pollution Score	City MPG	Hwy MPG	Cmb MPG	Greenhouse Gas Score	SmartWay	Comb CO2
ALFA ROMEO Stelvio AWD	2	4	Auto-8	4WD	Gasoline	FA	T3B110	Federal Tier 3 Transitional Bin 110	KCRXJ02.05P2	small SUV	3	22	28	24	5	No	364
ALFA ROMEO Stelvio AWD	2.9	6	Auto-8	4WD	Gasoline	CA	L2ULEV125	California LEV-II ULEV125	KCRXJ02.95P0	small SUV	3	17	23	19	3	No	470
ALFA ROMEO Stelvio AWD	2.9	6	Auto-8	4WD	Gasoline	CA	L3ULEV125	California LEV-III ULEV125	KCRXJ02.95P0	small SUV	3	17	23	19	3	No	470
ALFA ROMEO Stelvio AWD	2.9	6	Auto-8	4WD	Gasoline	FA	T3B125	Federal Tier 3 Bin 125	KCRXJ02.95P0	small SUV	3	17	23	19	3	No	470
ASTON MARTIN DB11	4	8	SemiAuto-8	2WD	Gasoline	FA	T3B125	Federal Tier 3 Bin 125	KASXV04.0AES	small car	3	18	24	20	4	No	431
ASTON MARTIN DB11	4	8	SemiAuto-8	2WD	Gasoline	CA	U2	California LEV-II ULEV	KASXV04.0AES	small car	3	18	24	20	4	No	431
ASTON MARTIN DB11	5.2	12	SemiAuto-8	2WD	Gasoline	FA	T3B125	Federal Tier 3 Bin 125	KASXV05.2AM5	small car	3	15	21	17	3	No	497
AUDI Q7	3	6	SemiAuto-8	4WD	Gasoline	FA	T3B125	Federal Tier 3 Bin 125	KVGAT03.0AUE	standard SUV	3	19	25	21	4	No	419
AUDI Q7	3	6	SemiAuto-8	4WD	Gasoline	CA	U2	California LEV-II ULEV	KVGAT03.0AUE	standard SUV	3	19	25	21	4	No	419
BENTLEY Bentayga	4	8	SemiAuto-8	4WD	Gasoline	CA	L3ULEV125	California LEV-III ULEV125	KVGAT04.0PAA	standard SUV	3	14	23	17	3	No	508
BENTLEY Bentayga	4	8	SemiAuto-8	4WD	Gasoline	FA	T3B125	Federal Tier 3 Bin 125	KVGAT04.0PAA	standard SUV	3	14	23	17	3	No	508
BENTLEY Chiron	8	16	AMS-7	4WD	Gasoline	CA	L3LEV160	California LEV-III LEV160	KVGAV08.0GLB	small car	1	9	14	11	1	No	840
BENTLEY Chiron	8	16	AMS-7	4WD	Gasoline	FA	T3B160	Federal Tier 3 Bin 160	KVGAV08.0GLB	small car	1	9	14	11	1	No	840
BMW 230i Convertible	2	4	SemiAuto-8	2WD	Gasoline	CA	L3SULEV30	California LEV-III SULEV30	KBMXJ02.0B4X	small car	7	23	33	27	6	No	333
BMW 230i Convertible	2	4	SemiAuto-8	2WD	Gasoline	FA	T3B30	Federal Tier 3 Bin 30	KBMXJ02.0B4X	small car	7	23	33	27	6	No	333
BMW 230i Coupe	2	4	Man-6	2WD	Gasoline	CA	L3SULEV30	California LEV-III SULEV30	KBMXJ02.0B4X	small car	7	21	32	25	5	No	356
BMW 230i Coupe	2	4	Man-6	2WD	Gasoline	FA	T3B30	Federal Tier 3 Bin 30	KBMXJ02.0B4X	small car	7	21	32	25	5	No	356
BMW 230i Coupe	2	4	SemiAuto-8	2WD	Gasoline	CA	L3SULEV30	California LEV-III SULEV30	KBMXJ02.0B4X	small car	7	24	35	28	6	No	318
BMW 230i Coupe	2	4	SemiAuto-8	2WD	Gasoline	FA	T3B30	Federal Tier 3 Bin 30	KBMXJ02.0B4X	small car	7	24	35	28	6	No	318
BMW 230i xDrive Convertible	2	4	SemiAuto-8	4WD	Gasoline	CA	L3SULEV30	California LEV-III SULEV30	KBMXJ02.0B4X	small car	7	23	33	27	6	No	331
BMW 230i xDrive Convertible	2	4	SemiAuto-8	4WD	Gasoline	FA	T3B30	Federal Tier 3 Bin 30	KBMXJ02.0B4X	small car	7	23	33	27	6	No	331
BMW 230i xDrive Coupe	2	4	SemiAuto-8	4WD	Gasoline	CA	L3SULEV30	California LEV-III SULEV30	KBMXJ02.0B4X	small car	7	24	33	27	6	No	326
BMW 230i xDrive Coupe	2	4	SemiAuto-8	4WD	Gasoline	FA	T3B30	Federal Tier 3 Bin 30	KBMXJ02.0B4X	small car	7	24	33	27	6	No	326
BMW 330i Gran Turismo	2	4	SemiAuto-8	4WD	Gasoline	CA	L3SULEV30	California LEV-III SULEV30	KBMXJ02.0B4X	large car	7	23	33	27	6	No	331
BMW 330i Gran Turismo	2	4	SemiAuto-8	4WD	Gasoline	FA	T3B30	Federal Tier 3 Bin 30	KBMXJ02.0B4X	large car	7	23	33	27	6	No	331
BMW 330i Sports Wagon	2	4	SemiAuto-8	4WD	Gasoline	CA	L3SULEV30	California LEV-III SULEV30	KBMXJ02.0B4X	station wagon	7	23	33	27	6	No	331
BMW 330i Sports Wagon	2	4	SemiAuto-8	4WD	Gasoline	FA	T3B30	Federal Tier 3 Bin 30	KBMXJ02.0B4X	station wagon	7	23	33	27	6	No	331
BMW 340i Gran Turismo	3	6	SemiAuto-8	4WD	Gasoline	CA	L3ULEV125	California LEV-III ULEV125	KBMXV03.0B58	large car	3	20	29	23	5	No	383
BMW 340i Gran Turismo	3	6	SemiAuto-8	4WD	Gasoline	FA	T3B125	Federal Tier 3 Bin 125	KBMXV03.0B58	large car	3	20	29	23	5	No	383
BMW 430i Convertible	2	4	SemiAuto-8	2WD	Gasoline	CA	L3SULEV30	California LEV-III SULEV30	KBMXJ02.0B4X	small car	7	24	34	27	6	No	324
BMW 430i Convertible	2	4	SemiAuto-8	2WD	Gasoline	FA	T3B30	Federal Tier 3 Bin 30	KBMXJ02.0B4X	small car	7	24	34	27	6	No	324
BMW 430i Convertible	2	4	SemiAuto-8	4WD	Gasoline	CA	L3SULEV30	California LEV-III SULEV30	KBMXJ02.0B4X	small car	7	22	32	26	5	No	344
BMW 430i Convertible	2	4	SemiAuto-8	4WD	Gasoline	FA	T3B30	Federal Tier 3 Bin 30	KBMXJ02.0B4X	small car	7	22	32	26	5	No	344
BMW 430i Coupe	2	4	Man-6	2WD	Gasoline	CA	L3SULEV30	California LEV-III SULEV30	KBMXJ02.0B4X	small car	7	21	33	25	5	No	351
BMW 430i Coupe	2	4	Man-6	2WD	Gasoline	FA	T3B30	Federal Tier 3 Bin 30	KBMXJ02.0B4X	small car	7	21	33	25	5	No	351
BMW 430i Coupe	2	4	SemiAuto-8	2WD	Gasoline	CA	L3SULEV30	California LEV-III SULEV30	KBMXJ02.0B4X	small car	7	24	34	27	6	No	324
BMW 430i Coupe	2	4	SemiAuto-8	2WD	Gasoline	FA	T3B30	Federal Tier 3 Bin 30	KBMXJ02.0B4X	small car	7	24	34	27	6	No	324
BMW 430i Coupe	2	4	SemiAuto-8	4WD	Gasoline	CA	L3SULEV30	California LEV-III SULEV30	KBMXJ02.0B4X	small car	7	23	33	27	6	No	331
BMW 430i Coupe	2	4	SemiAuto-8	4WD	Gasoline	FA	T3B30	Federal Tier 3 Bin 30	KBMXJ02.0B4X	small car	7	23	33	27	6	No	331
BMW 430i Gran Coupe	2	4	SemiAuto-8	2WD	Gasoline	CA	L3SULEV30	California LEV-III SULEV30	KBMXJ02.0B4X	small car	7	24	34	27	6	No	324
BMW 430i Gran Coupe	2	4	SemiAuto-8	2WD	Gasoline	FA	T3B30	Federal Tier 3 Bin 30	KBMXJ02.0B4X	small car	7	24	34	27	6	No	324
BMW 430i Gran Coupe	2	4	SemiAuto-8	4WD	Gasoline	CA	L3SULEV30	California LEV-III SULEV30	KBMXJ02.0B4X	small car	7	23	33	27	6	No	331
BMW 430i Gran Coupe	2	4	SemiAuto-8	4WD	Gasoline	FA	T3B30	Federal Tier 3 Bin 30	KBMXJ02.0B4X	small car	7	23	33	27	6	No	331
BMW 440i Convertible	3	6	SemiAuto-8	2WD	Gasoline	CA	L3ULEV125	California LEV-III ULEV125	KBMXV03.0B58	small car	3	21	29	24	5	No	371
